Date,Fund Return,T-Bills,Benchmark
09/30/03,0,0,0
10/31/03,0.0039,0.0042,0.0074
11/30/03,0.0073,0.0041,0.0025
12/31/03,0.0155,0.0044,0.0173
01/31/04,0.0047,0.0041,0.0064
02/29/04,0.0063,0.0042,0.0067
03/31/04,0.0123,0.0045,0.0115
04/30/04,0.0063,0.0042,0.0064
05/31/04,0.001,0.0046,0.0017
06/30/04,0.0172,0.0043,0.0181
07/31/04,-0.0138,0.0049,-0.0134
08/31/04,0,0.005,0.0002
09/30/04,0.0204,0.0049,0.0131
10/31/04,0.0098,0.0053,0.0118
11/30/04,0.0316,0.0053,0.0289
12/31/04,0.028,0.0053,0.0273
01/31/05,0.0021,0.0054,-0.0007
02/28/05,0.0239,0.005,0.0196
03/31/05,-0.0093,0.0052,-0.0093
04/30/05,-0.0176,0.0054,-0.0081
05/31/05,0.0351,0.0055,0.0344
06/30/05,0.0246,0.0052,0.0283
07/31/05,0.0329,0.0054,0.0335
08/31/05,0.0074,0.0054,0.0018
09/30/05,0.0254,0.0052,0.0216
10/31/05,-0.0249,0.0055,-0.0252
11/30/05,0.0275,0.0052,0.028
12/31/05,0.0268,0.0059,0.0287
01/31/06,0.0349,0.0062,0.0315
02/28/06,0.0071,0.0048,0.0099
03/31/06,0.0448,0.0058,0.0438
04/30/06,0.0131,0.0058,0.0043
05/31/06,-0.0291,0.006,-0.0279
06/30/06,0.014,0.0057,0.0155
07/31/06,0.0077,0.0056,0.0091
08/31/06,0.0012,0.0062,0.0059
09/30/06,0.0089,0.0058,0.0114
10/31/06,0.0212,0.0065,0.0239
12/01/06,0.0169,0.0059,0.0192
12/31/06,0.016,0.0055,0.0109
01/31/07,0.0193,0.0062,0.0213
02/28/07,-0.003,0.0054,-0.0036
03/31/07,0.0136,0.0058,0.0096
04/30/07,0.0178,0.006,0.0151
05/31/07,0.022,0.0061,0.0206
06/30/07,-0.004,0.0059,-0.0192
07/31/07,-0.0118,0.0062,-0.014
08/31/07,0.0055,0.007,0.021
09/30/07,0.0136,0.0066,0.0178
10/31/07,0.021,0.0059,0.0206
11/30/07,-0.0351,0.0064,-0.0335
12/31/07,-0.002,0.0062,-0.005
01/31/08,-0.0525,0.0059,-0.0499
02/28/08,0.0029,0.0065,-0.0015
03/31/08,-0.0072,0.0066,-0.004
05/01/08,0.0428,0.0065,0.0451
05/31/08,0.0165,0.0068,0.0129
06/30/08,-0.0398,0.0063,-0.0528
07/31/08,-0.0025,0.0067,-0.0008
08/31/08,0.0048,0.0063,0.0123
09/30/08,-0.0798,0.007,-0.0711
10/31/08,-0.1349,0.0056,-0.1388
11/30/08,-0.0503,0.0048,-0.0457
12/31/08,0.0146,0.0052,0.0207
01/31/09,-0.0324,0.0052,-0.043
02/28/09,-0.0667,0.0028,-0.0698
03/31/09,0.0112,0.0023,0.031
04/30/09,0.0674,0.003,0.092
05/31/09,0.0347,0.0025,0.033
06/30/09,0.004,0.0021,0.0019
07/31/09,0.0631,0.0022,0.0606
08/31/09,0.028,0.0024,0.0355
09/30/09,0.0247,0.0021,0.026
10/31/09,-0.0022,0.0023,-0.0108
11/30/09,0.0261,0.0021,0.0237
12/31/09,0.0239,0.0023,0.0262
01/31/10,-0.0197,0.0022,-0.0213
02/28/10,0.0188,0.002,0.0184
03/31/10,0.0429,0.0021,0.0448
04/30/10,0.0076,0.0019,0.01
05/31/10,-0.0482,0.0021,-0.0469
06/30/10,-0.0154,0.002,-0.0236
07/31/10,0.0476,0.0021,0.0437
08/31/10,-0.0137,0.0023,-0.0178
09/30/10,0.0611,0.0026,0.0576
10/31/10,0.0266,0.0025,0.0247
11/30/10,-0.0038,0.0024,-0.0032
12/31/10,0.0442,0.0025,0.0432
01/31/11,0.0161,0.0026,0.0115
02/28/11,0.03,0.0027,0.0211
03/31/11,0.0041,0.0025,-0.0002
04/30/11,0.0182,0.0021,0.02
05/31/11,0.0085,0.0022,-0.0046
06/30/11,-0.0102,0.002,-0.0135
07/31/11,-0.0281,0.002,-0.0145
08/31/11,-0.0504,0.0022,-0.0509
09/30/11,-0.0367,0.0023,-0.0522
10/31/11,0.0666,0.002,0.0667
11/30/11,-0.0054,0.002,-0.0154
12/31/11,0.0043,0.002,0.0079
01/31/12,0.0326,0.0019,0.0406
02/28/12,0.0372,0.0018,0.0367
03/31/12,0.0289,0.0019,0.0145
04/30/12,-0.0086,0.0021,-0.0053
05/31/12,-0.0445,0.0021,-0.0503
06/30/12,0.0236,0.0019,0.0284
07/31/12,0.0147,0.0021,0.0159
08/31/12,0.0272,0.0021,0.0173
09/30/12,0.0192,0.0018,0.0222
10/31/12,0.0058,0.0021,0.0013
11/30/12,0.0201,0.002,0.0147
12/31/12,0.0233,0.0021,0.0204
01/31/13,0.043,0.0021,0.0387
02/28/13,0.0131,0.0019,0.0131
03/31/13,0.0176,0.002,0.0214
04/30/13,0.0218,0.002,0.0252
05/31/13,0.0338,0.0019,0.0056
06/30/13,-0.0066,0.0018,-0.0239
07/31/13,0.0297,0.0018,0.0349
08/31/13,-0.0018,0.002,-0.0146
09/30/13,0.0211,0.0018,0.0344
10/31/13,0.0371,0.0021,0.0339
11/30/13,0.0166,0.002,0.0125
12/31/13,0.0098,0.0021,0.0128
01/31/14,-0.0127,0.002,-0.0161
02/28/14,0.0284,0.002,0.0334
03/31/14,-0.0003,0.0021,0.0056
04/30/14,0.0141,0.0022,0.0079
05/31/14,0.0257,0.0026,0.0211
06/30/14,0.0117,0.0025,0.015
07/31/14,0.0077,0.0028,-0.0016
08/31/14,0.0244,0.0029,0.0253
09/30/14,-0.0006,0.0028,-0.0129
10/30/14,0.0147,0.0029,0.0178
11/30/14,0.0205,0.0027,0.0226
12/31/14,-0.0017,0.0029,0.0008
01/31/15,0.0143,0.0029,0.0085
02/28/15,0.0391,0.0027,0.0405
03/31/15,0.005,0.0029,0.003
04/30/15,0.0114,0.0028,0.01
05/31/15,0.0164,0.003,0.0093
06/30/15,-0.0127,0.0029,-0.0244
07/31/15,0.0124,0.0027,0.016
08/31/15,-0.043,0.0024,-0.0513
09/30/15,-0.0229,0.0023,-0.0218
10/31/15,0.0554,0.0021,0.0567
11/30/15,0.0105,0.0022,0.0061
12/31/15,-0.0184,0.0022,-0.0116
01/31/16,-0.0357,0.0021,-0.0406
02/29/16,-0.0105,0.002,-0.005
03/31/16,0.0538,0.0021,0.0504
04/30/16,0.0125,0.0016,0.0085
05/31/16,0.017,0.0017,0.0157
06/30/16,-0.0069,0.0017,-0.0038
07/31/16,0.037,0.0019,0.0374
08/31/16,0.0116,0.0017,0.0069
09/30/16,0.0061,0.0016,0.0036
10/31/16,0.0004,0.0016,-0.009
11/30/16,0.0179,0.0016,0.0149
12/31/16,0.0244,0.0015,0.0201
01/31/17,0.0115,0.0014,0.0133
02/28/17,0.0262,0.0013,0.0252
03/31/17,0.0158,0.0013,0.0096
04/30/17,0.0141,0.0014,0.0139
05/31/17,0.0108,0.0015,0.0129
06/30/17,0.0142,0.0014,0.0043
07/31/17,0.0155,0.0015,0.0155
08/31/17,0.0095,0.0015,0.0064
09/30/17,0.0166,0.0015,0.0169
10/31/17,0.0262,0.0015,0.0244
11/30/17,0.0101,0.0014,0.0113
12/31/17,0.0113,0.0014,0.0108
01/31/18,0.0265,0.0014,0.0295
02/28/18,-0.0196,0.0013,-0.0256
03/31/18,-0.0106,0.0013,-0.0136
04/30/18,0.0175,0.0014,0.0127
05/31/18,0.0084,0.0014,0.0109
06/30/18,0.0073,0.0014,0.0015
07/31/18,0.0202,0.0015,0.0206
08/31/18,0.0107,0.0014,0.0152
09/30/18,0.0045,0.0013,-0.0009
10/31/18,-0.0484,0.0013,-0.0592
11/30/18,0.0138,0.0013,0.0128
